address,size_bytes,size_hex,symbol_name,raw_name,binding,source_file,reference_file,object_id,object_source,classification,status,attempts,best_score,commit,notes_file
0x003B0570,276,0x114,gets__7istreamPPcc,gets__7istreamPPcc,global,../../../src/libio/isgetline.cc,,external/isgetline_1381,../../../src/libio/isgetline.cc,excluded_sdk_runtime,excluded_sdk_runtime,0,,,notes/functions/003B0570_gets__7istreamPPcc.md
0x003B22D0,276,0x114,_IO_default_xsgetn,_IO_default_xsgetn,global,../../../src/libio/genops.c,,external/genops_1386,../../../src/libio/genops.c,excluded_sdk_runtime,excluded_sdk_runtime,0,,,notes/functions/003B22D0__IO_default_xsgetn.md
0x003B3A20,276,0x114,_IO_padn,_IO_padn,global,../../../src/libio/iopadn.c,,external/iopadn_1388,../../../src/libio/iopadn.c,excluded_sdk_runtime,excluded_sdk_runtime,0,,,notes/functions/003B3A20__IO_padn.md
0x003BB370,276,0x114,_send_to_iop,_send_to_iop,local,libpad.c,,external/libpad_1419,libpad.c,excluded_sdk_runtime,excluded_sdk_runtime,0,,,notes/functions/003BB370__send_to_iop.md
0x003BF450,276,0x114,_decodeOrSkipFrame,_decodeOrSkipFrame,local,mpeg.c,,external/mpeg_1451,mpeg.c,excluded_sdk_runtime,excluded_sdk_runtime,0,,,notes/functions/003BF450__decodeOrSkipFrame.md
0x003C1D00,276,0x114,_ri0_111,_ri0_111,global,mpc.c,,external/mpc_1455,mpc.c,excluded_sdk_runtime,excluded_sdk_runtime,0,,,notes/functions/003C1D00__ri0_111.md
0x003C7058,276,0x114,sqrtf,sqrtf,global,../../../../../src/newlib/libm/math/wf_sqrt.c,,external/wf_sqrt_1477,../../../../../src/newlib/libm/math/wf_sqrt.c,excluded_sdk_runtime,excluded_sdk_runtime,0,,,notes/functions/003C7058_sqrtf.md
0x003CC540,276,0x114,__fpcmp_parts_d,__fpcmp_parts_d,global,dp-bit.c,,external/dp-bit_1507,dp-bit.c,excluded_sdk_runtime,excluded_sdk_runtime,0,,,notes/functions/003CC540___fpcmp_parts_d.md
0x003D1A78,276,0x114,_multadd,_multadd,global,../../../../../src/newlib/libc/stdlib/mprec.c,,external/mprec_1546,../../../../../src/newlib/libc/stdlib/mprec.c,excluded_sdk_runtime,excluded_sdk_runtime,0,,,notes/functions/003D1A78__multadd.md
0x003D3FCC,276,0x114,strcpy,strcpy,global,../../../../../../src/newlib/libc/machine/r5900/strcpy.S,,external/strcpy_1563,../../../../../../src/newlib/libc/machine/r5900/strcpy.S,excluded_handwritten,excluded_handwritten,0,,,notes/functions/003D3FCC_strcpy.md
0x003AE5D8,280,0x118,__ls__7ostreamd,__ls__7ostreamd,global,../../../src/libio/iostream.cc,,external/iostream_1380,../../../src/libio/iostream.cc,excluded_sdk_runtime,excluded_sdk_runtime,0,,,notes/functions/003AE5D8___ls__7ostreamd.md
0x003C4DF0,280,0x118,_doCSC,_doCSC,local,csc.c,,external/csc_1456,csc.c,excluded_sdk_runtime,excluded_sdk_runtime,0,,,notes/functions/003C4DF0__doCSC.md
0x003CA3B0,280,0x118,__sjpopnthrow,__sjpopnthrow,global,../../src/gcc/libgcc2.c,,external/libgcc2_1500,../../src/gcc/libgcc2.c,excluded_sdk_runtime,excluded_sdk_runtime,0,,,notes/functions/003CA3B0___sjpopnthrow.md
0x00392240,284,0x11C,sceMcRead,sceMcRead,global,../libmc.c,,external/libmc_1357,../libmc.c,excluded_sdk_runtime,excluded_sdk_runtime,0,,,notes/functions/00392240_sceMcRead.md
0x003AF378,284,0x11C,__8iostreami,__8iostreami,global,../../../src/libio/iostream.cc,,external/iostream_1380,../../../src/libio/iostream.cc,excluded_sdk_runtime,excluded_sdk_runtime,0,,,notes/functions/003AF378___8iostreami.md
0x003B83C8,284,0x11C,_IO_do_write,_IO_do_write,global,../../../src/libio/fileops.c,,external/fileops_1401,../../../src/libio/fileops.c,excluded_sdk_runtime,excluded_sdk_runtime,0,,,notes/functions/003B83C8__IO_do_write.md
0x003C66A8,284,0x11C,fmod,fmod,global,../../../../../src/newlib/libm/math/w_fmod.c,,external/w_fmod_1471,../../../../../src/newlib/libm/math/w_fmod.c,excluded_sdk_runtime,excluded_sdk_runtime,0,,,notes/functions/003C66A8_fmod.md
